Date,TA35.TA
2024-10-06,2088.679931640625
2024-10-07,2093.070068359375
2024-10-08,2098.389892578125
2024-10-09,2113.4599609375
2024-10-10,2093.550048828125
2024-10-13,2110.389892578125
2024-10-14,2126.75
2024-10-15,2137.7099609375
2024-10-20,2180.669921875
2024-10-21,2177.090087890625
2024-10-22,2155.39990234375
2024-10-27,2170.550048828125
2024-10-28,2174.239990234375
2024-10-29,2189.860107421875
2024-10-30,2218.89990234375
2024-10-31,2203.969970703125
2024-11-03,2204.330078125
2024-11-04,2207.830078125
2024-11-05,2218.6201171875
2024-11-06,2223.75
2024-11-07,2229.989990234375
2024-11-10,2288.06005859375
2024-11-11,2276.030029296875
2024-11-12,2297.860107421875
2024-11-13,2303.110107421875
2024-11-14,2267.590087890625
2024-11-17,2268.5400390625
2024-11-18,2247.580078125
