ds,y
2015-09-29,22.947141647338867
2015-09-30,23.65345001220703
2015-10-01,23.543582916259766
2015-10-02,23.943819046020508
2015-10-05,24.4931697845459
2015-10-06,24.909109115600586
2015-10-07,25.364280700683594
2015-10-08,25.5212345123291
2015-10-09,25.223018646240234
2015-10-12,25.277956008911133
2015-10-13,25.144546508789062
2015-10-14,25.740983963012695
2015-10-15,25.701738357543945
2015-10-16,25.92932891845703
2015-10-19,26.360960006713867
2015-10-20,26.243242263793945
2015-10-21,26.188304901123047
2015-10-22,26.996631622314453
2015-10-23,27.389034271240234
2015-10-26,27.1457462310791
2015-10-27,27.051576614379883
2015-10-28,27.23991584777832
2015-10-29,26.706262588500977
2015-10-30,26.57285499572754
2015-11-02,26.769046783447266
2015-11-03,26.926015853881836
2015-11-04,26.98923110961914
